id;ug_id;ug_sigla;ug_nome;ug_tipo;sequencia_ug;uorg_codigo;uorg_sigla;comissao_designacao;processo_sei;processo_sei_link;bens_acautelados_doc;bens_acautelados_link;relatorios_sgp;relatorio_uorg;relatorio_final_ug;status_fase;data_limite_cautela;data_limite_final
1;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;1;29423;DPAT-ENTRADA;;08016.021545/2026-30;;;;;;;PROCESSO_AUTUADO;2026-08-31;2026-11-30
2;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;2;34964;GABSEC;;08016.021546/2026-84;;Declaração de Cautelas de Bens - GABSEC (SEI nº 36343210);;;;;CAUTELA_INFORMADA;2026-08-31;2026-11-30
3;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;3;34965;ESPEN;;08016.021547/2026-29;;;;;;;PROCESSO_AUTUADO;2026-08-31;2026-11-30
4;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;4;34966;ONASP;;08016.021548/2026-73;;;;;;;PROCESSO_AUTUADO;2026-08-31;2026-11-30
5;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;5;34967;COGER;;08016.021550/2026-42;;;;;;;PROCESSO_AUTUADO;2026-08-31;2026-11-30
6;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;6;34969;ACGE;;08016.021551/2026-97;;Declaração de Cautela de Bens - ACGE (atualizada) (SEI nº 36333732);;;;;CAUTELA_INFORMADA;2026-08-31;2026-11-30
7;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;7;34970;CODAA;;08016.021559/2026-53;;Declaração de Cautela (SEI nº 36278207);;;;;CAUTELA_INFORMADA;2026-08-31;2026-11-30
8;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;8;34971;DCOM;;08016.021552/2026-31;;Declaração de Cautela Bens Patrimoniais - DCOM (SEI nº 36252008);;;;;CAUTELA_INFORMADA;2026-08-31;2026-11-30
9;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;9;34973;DIREX;;08016.021396/2026-17;;;;;;;PROCESSO_AUTUADO;2026-08-31;2026-11-30
10;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;10;34974;COASP;;08016.021394/2026-10;https://sei.mj.gov.br/sei/controlador.php?acao=procedimento_trabalhar&acao_origem=rel_bloco_protocolo_listar&acao_retorno=rel_bloco_protocolo_listar&id_procedimento=41767330&id_bloco=776245&infra_sistema=100000100&infra_unidade_atual=110002723&infra_hash=6c3dc37129c34e9ff578c3d11e01273d6b24d860479375c15d17b4675ca58e53;;;;;;PROCESSO_AUTUADO;2026-08-31;2026-11-30
11;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;11;34975;CGOF;1 - Thalles da Paz Moreira, matrícula SIAPE nº 2075005;08016.021127/2026-42;https://sei.mj.gov.br/sei/controlador.php?acao=procedimento_trabalhar&acao_origem=rel_bloco_protocolo_listar&acao_retorno=rel_bloco_protocolo_listar&id_procedimento=41750108&id_bloco=776245&infra_sistema=100000100&infra_unidade_atual=110002723&infra_hash=3cec0301f8faf2fa1f021d25b6eea75a84ffb763e1c14c4932437988f2a883a8;Declaração de Cautela de Bens Patrimoniais - CGOF (SEI nº 36315863);;;;;CAUTELA_INFORMADA;2026-08-31;2026-11-30
12;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;12;34976;DIFIN;;08016.021269/2026-18;https://sei.mj.gov.br/sei/controlador.php?acao=procedimento_trabalhar&acao_origem=rel_bloco_protocolo_listar&acao_retorno=rel_bloco_protocolo_listar&id_procedimento=41751005&id_bloco=776245&infra_sistema=100000100&infra_unidade_atual=110002723&infra_hash=19c945fa727c32fe9231390867b012814b25afd14d9b450aae84b5ca410375ab;Declaração de Cautela de Bens Patrimoniais - DIFIN (SEI nº 36167438);;;;;CAUTELA_INFORMADA;2026-08-31;2026-11-30
13;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;13;34977;DIEOR;;08016.021153/2026-71;https://sei.mj.gov.br/sei/controlador.php?acao=procedimento_trabalhar&acao_origem=rel_bloco_protocolo_listar&acao_retorno=rel_bloco_protocolo_listar&id_procedimento=41751123&id_bloco=776245&infra_sistema=100000100&infra_unidade_atual=110002723&infra_hash=18bf660a1c7060a66bfc12100e52346f6d936a4bb6307830e08514eec76214a0;Declaração de Cautela de Bens Patrimoniais - DIEOR (SEI nº 36174326);;;;;CAUTELA_INFORMADA;2026-08-31;2026-11-30
14;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;14;34978;SEDIPA;;08016.021154/2026-15;;Declaração de Cautela de Bens Patrimoniais - SEDIPA (SEI nº 36173922);;;;;CAUTELA_INFORMADA;2026-08-31;2026-11-30
15;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;15;34979;CGGP;2 - Anselmo Soares da Silva;08016.021559/2026-53;;Declaração de Cautela de Bens Patrimoniais-CGGP-SENAPPEN (SEI nº 36243635);;;;;CAUTELA_INFORMADA;2026-08-31;2026-11-30
16;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;16;34980;DAJUR;;08016.021570/2026-13;;Declaração cautela de bens - DAJUR (SEI nº 36639609);;;;;CAUTELA_INFORMADA;2026-08-31;2026-11-30
17;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;17;34981;COAP;;08016.021571/2026-68;;Declaração de Bens Acautelados COAP (SEI nº 36561102);;;;;CAUTELA_INFORMADA;2026-08-31;2026-11-30
18;1;DIREX;DIRETORIA EXECUTIVA;DIRETORIA;18;34982;DPAG;;08016.021572/2026-11;;;;;;;PROCESSO_AUTUADO;2026-08-31;2026-11-30
